Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.40,0.40,0.40,0.40,148000,0.40
2016-06-30,0.415,0.415,0.41,0.41,51900,0.41
2016-06-29,0.41,0.41,0.41,0.41,13800,0.41
2016-06-28,0.415,0.42,0.41,0.41,14800,0.41
2016-06-27,0.41,0.41,0.41,0.41,6900,0.41
2016-06-24,0.385,0.40,0.38,0.40,142900,0.40
2016-06-23,0.375,0.385,0.36,0.37,261500,0.37
2016-06-22,0.35,0.36,0.35,0.35,189900,0.35
2016-06-21,0.32,0.32,0.32,0.32,60000,0.32
2016-06-20,0.35,0.35,0.35,0.35,000,0.35
2016-06-17,0.30,0.35,0.30,0.35,79000,0.35
2016-06-16,0.30,0.30,0.30,0.30,12500,0.30
2016-06-15,0.28,0.30,0.28,0.30,80800,0.30
2016-06-14,0.28,0.28,0.28,0.28,39500,0.28
2016-06-13,0.28,0.28,0.28,0.28,000,0.28
2016-06-10,0.29,0.29,0.265,0.28,119500,0.28
2016-06-09,0.28,0.30,0.275,0.30,137100,0.30
2016-06-08,0.275,0.28,0.25,0.28,594700,0.28
2016-06-07,0.24,0.275,0.24,0.275,240400,0.275
2016-06-06,0.23,0.23,0.23,0.23,000,0.23
2016-06-03,0.22,0.24,0.22,0.23,186900,0.23
2016-06-02,0.19,0.21,0.19,0.21,161000,0.21
2016-06-01,0.18,0.18,0.18,0.18,000,0.18
2016-05-31,0.18,0.18,0.18,0.18,000,0.18
2016-05-30,0.18,0.18,0.18,0.18,000,0.18
2016-05-27,0.17,0.18,0.17,0.18,100000,0.18
2016-05-26,0.16,0.16,0.16,0.16,10000,0.16
2016-05-25,0.15,0.15,0.15,0.15,000,0.15
2016-05-24,0.15,0.15,0.15,0.15,000,0.15
2016-05-23,0.15,0.15,0.15,0.15,16900,0.15
2016-05-20,0.15,0.15,0.15,0.15,000,0.15
2016-05-19,0.15,0.15,0.15,0.15,000,0.15
2016-05-18,0.15,0.15,0.15,0.15,000,0.15
2016-05-17,0.15,0.15,0.15,0.15,6600,0.15
2016-05-16,0.15,0.15,0.15,0.15,000,0.15
2016-05-13,0.15,0.15,0.15,0.15,000,0.15
2016-05-12,0.15,0.15,0.15,0.15,000,0.15
2016-05-11,0.13,0.15,0.13,0.15,92100,0.15
2016-05-10,0.16,0.16,0.16,0.16,000,0.16
2016-05-09,0.16,0.16,0.16,0.16,000,0.16
2016-05-06,0.16,0.16,0.16,0.16,000,0.16
2016-05-05,0.16,0.16,0.16,0.16,000,0.16
2016-05-04,0.155,0.16,0.155,0.16,90600,0.16
2016-05-03,0.15,0.15,0.15,0.15,000,0.15
2016-05-02,0.15,0.15,0.15,0.15,000,0.15
2016-04-29,0.14,0.155,0.14,0.15,130800,0.15
2016-04-28,0.125,0.13,0.125,0.13,200700,0.13
2016-04-27,0.125,0.125,0.125,0.125,000,0.125
2016-04-26,0.125,0.125,0.125,0.125,000,0.125
2016-04-25,0.125,0.125,0.125,0.125,000,0.125
2016-04-22,0.125,0.125,0.125,0.125,3100,0.125
2016-04-21,0.13,0.13,0.13,0.13,000,0.13
2016-04-20,0.13,0.13,0.13,0.13,000,0.13
2016-04-19,0.13,0.13,0.13,0.13,55200,0.13
2016-04-18,0.13,0.13,0.13,0.13,000,0.13
2016-04-15,0.13,0.13,0.13,0.13,000,0.13
2016-04-14,0.13,0.13,0.13,0.13,10000,0.13
2016-04-13,0.15,0.15,0.15,0.15,000,0.15
2016-04-12,0.15,0.15,0.15,0.15,000,0.15
2016-04-11,0.135,0.15,0.135,0.15,505000,0.15
2016-04-08,0.15,0.15,0.15,0.15,000,0.15
2016-04-07,0.15,0.15,0.15,0.15,000,0.15
2016-04-06,0.15,0.16,0.15,0.15,63100,0.15
2016-04-05,0.15,0.15,0.15,0.15,000,0.15
2016-04-04,0.15,0.15,0.15,0.15,000,0.15
2016-04-01,0.15,0.15,0.15,0.15,31500,0.15
2016-03-31,0.155,0.155,0.155,0.155,000,0.155
2016-03-30,0.155,0.155,0.155,0.155,000,0.155
2016-03-29,0.16,0.16,0.155,0.155,100000,0.155
2016-03-28,0.16,0.16,0.16,0.16,000,0.16
2016-03-25,0.16,0.16,0.16,0.16,000,0.16
2016-03-24,0.16,0.16,0.16,0.16,000,0.16
2016-03-23,0.16,0.16,0.16,0.16,000,0.16
2016-03-22,0.16,0.16,0.16,0.16,000,0.16
2016-03-21,0.16,0.16,0.16,0.16,000,0.16
2016-03-18,0.16,0.16,0.16,0.16,000,0.16
2016-03-17,0.16,0.16,0.16,0.16,000,0.16
2016-03-16,0.16,0.16,0.16,0.16,000,0.16
2016-03-15,0.16,0.16,0.16,0.16,10000,0.16
2016-03-14,0.16,0.16,0.16,0.16,000,0.16
2016-03-11,0.16,0.16,0.16,0.16,000,0.16
2016-03-10,0.16,0.16,0.16,0.16,57000,0.16
2016-03-09,0.165,0.165,0.165,0.165,000,0.165
2016-03-08,0.165,0.165,0.165,0.165,000,0.165
2016-03-07,0.165,0.165,0.165,0.165,000,0.165
2016-03-04,0.165,0.165,0.165,0.165,000,0.165
2016-03-03,0.165,0.165,0.165,0.165,000,0.165
2016-03-02,0.165,0.165,0.165,0.165,000,0.165
2016-03-01,0.165,0.165,0.165,0.165,000,0.165
2016-02-29,0.165,0.165,0.165,0.165,000,0.165
2016-02-26,0.165,0.165,0.165,0.165,000,0.165
2016-02-25,0.16,0.165,0.13,0.165,1930700,0.165
2016-02-24,0.17,0.17,0.17,0.17,000,0.17
2016-02-23,0.17,0.17,0.17,0.17,000,0.17
2016-02-22,0.17,0.17,0.17,0.17,000,0.17
2016-02-19,0.17,0.17,0.17,0.17,000,0.17
2016-02-18,0.17,0.17,0.17,0.17,000,0.17
2016-02-17,0.17,0.17,0.17,0.17,000,0.17
2016-02-16,0.17,0.17,0.17,0.17,000,0.17
2016-02-15,0.17,0.17,0.17,0.17,000,0.17
2016-02-12,0.17,0.17,0.17,0.17,5000,0.17
2016-02-11,0.16,0.16,0.16,0.16,250000,0.16
2016-02-10,0.15,0.15,0.15,0.15,000,0.15
2016-02-09,0.15,0.15,0.15,0.15,500000,0.15
2016-02-08,0.16,0.16,0.16,0.16,50000,0.16
2016-02-05,0.16,0.16,0.16,0.16,000,0.16
2016-02-04,0.16,0.16,0.16,0.16,000,0.16
2016-02-03,0.16,0.16,0.16,0.16,000,0.16
2016-02-02,0.16,0.16,0.16,0.16,000,0.16
2016-02-01,0.16,0.16,0.16,0.16,000,0.16
2016-01-29,0.16,0.16,0.16,0.16,000,0.16
2016-01-28,0.16,0.16,0.16,0.16,000,0.16
2016-01-27,0.16,0.16,0.16,0.16,100000,0.16
2016-01-26,0.17,0.17,0.17,0.17,000,0.17
2016-01-25,0.17,0.17,0.17,0.17,000,0.17
2016-01-22,0.17,0.17,0.17,0.17,000,0.17
2016-01-21,0.17,0.17,0.17,0.17,000,0.17
2016-01-20,0.17,0.17,0.17,0.17,000,0.17
2016-01-19,0.17,0.17,0.17,0.17,6200,0.17
2016-01-18,0.17,0.17,0.17,0.17,50000,0.17
2016-01-15,0.17,0.17,0.17,0.17,000,0.17
2016-01-14,0.17,0.17,0.17,0.17,40000,0.17
2016-01-13,0.17,0.17,0.17,0.17,80400,0.17
2016-01-12,0.17,0.17,0.17,0.17,25000,0.17
2016-01-11,0.17,0.17,0.17,0.17,000,0.17
2016-01-08,0.17,0.17,0.17,0.17,000,0.17
2016-01-07,0.17,0.17,0.17,0.17,382400,0.17
2016-01-06,0.17,0.18,0.17,0.18,21900,0.18
2016-01-05,0.19,0.19,0.19,0.19,000,0.19
2016-01-04,0.19,0.19,0.19,0.19,000,0.19
2016-01-01,0.19,0.19,0.19,0.19,000,0.19
2015-12-31,0.19,0.19,0.19,0.19,4000,0.19
2015-12-30,0.18,0.18,0.18,0.18,000,0.18
2015-12-29,0.18,0.18,0.18,0.18,000,0.18
2015-12-28,0.18,0.18,0.18,0.18,000,0.18
2015-12-25,0.18,0.18,0.18,0.18,000,0.18
2015-12-24,0.18,0.18,0.18,0.18,000,0.18
2015-12-23,0.18,0.18,0.18,0.18,000,0.18
2015-12-22,0.18,0.18,0.18,0.18,100000,0.18
2015-12-21,0.20,0.20,0.20,0.20,000,0.20
2015-12-18,0.20,0.20,0.20,0.20,000,0.20
2015-12-17,0.20,0.20,0.20,0.20,000,0.20
2015-12-16,0.19,0.215,0.16,0.20,1196300,0.20
2015-12-15,0.18,0.18,0.16,0.18,1900400,0.18
2015-12-14,0.18,0.18,0.18,0.18,000,0.18
2015-12-11,0.18,0.18,0.18,0.18,000,0.18
2015-12-10,0.18,0.18,0.18,0.18,70000,0.18
2015-12-09,0.205,0.205,0.205,0.205,000,0.205
2015-12-08,0.205,0.205,0.205,0.205,000,0.205
2015-12-07,0.205,0.205,0.205,0.205,000,0.205
2015-12-04,0.205,0.205,0.205,0.205,000,0.205
2015-12-03,0.205,0.205,0.205,0.205,000,0.205
2015-12-02,0.205,0.205,0.205,0.205,000,0.205
2015-12-01,0.205,0.205,0.205,0.205,000,0.205
2015-11-30,0.205,0.205,0.205,0.205,000,0.205
2015-11-27,0.205,0.205,0.205,0.205,000,0.205
2015-11-26,0.205,0.205,0.205,0.205,000,0.205
2015-11-25,0.205,0.205,0.205,0.205,000,0.205
2015-11-24,0.205,0.205,0.205,0.205,000,0.205
2015-11-23,0.205,0.205,0.205,0.205,000,0.205
2015-11-20,0.205,0.205,0.205,0.205,000,0.205
2015-11-19,0.205,0.205,0.205,0.205,000,0.205
2015-11-18,0.205,0.205,0.205,0.205,000,0.205
2015-11-17,0.205,0.205,0.205,0.205,000,0.205
2015-11-16,0.205,0.205,0.205,0.205,15000,0.205
2015-11-13,0.19,0.19,0.19,0.19,000,0.19
2015-11-12,0.19,0.19,0.19,0.19,000,0.19
2015-11-11,0.19,0.19,0.19,0.19,000,0.19
2015-11-10,0.19,0.19,0.19,0.19,72500,0.19
2015-11-09,0.20,0.20,0.20,0.20,000,0.20
2015-11-06,0.20,0.20,0.20,0.20,000,0.20
2015-11-05,0.20,0.20,0.20,0.20,000,0.20
2015-11-04,0.20,0.20,0.20,0.20,000,0.20
2015-11-03,0.20,0.20,0.20,0.20,000,0.20
2015-11-02,0.20,0.20,0.20,0.20,000,0.20
